FID,TYPE,CITY,STATE,ZIP,LATITUDE,LONGITUDE
41524,Self-Service,Middlesex,NJ,8846,40.578855,-74.502923
41525,Self-Service,Trevose,PA,19053,40.125608,-74.976496
41526,Self-Service,Moorestown,NJ,8057,39.972818,-74.919552
41527,Self-Service,Somerset,NJ,8873,40.540954,-74.520587
41528,Self-Service,Mount Laurel,NJ,8054,39.963755,-74.918788
41529,Self-Service,Trevose,PA,19053,40.152425,-74.980683
41530,Self-Service,Moorestown,NJ,8057,39.971895,-74.921939
41531,Self-Service,Philadelphia,PA,19154,40.108309999999996,-74.98675300000001
41532,Self-Service,Hackettstown,NJ,7840,40.897737,-74.825859
41533,Self-Service,Middlesex,NJ,8846,40.579643,-74.502737
41534,Self-Service,Bridgewater,NJ,8807,40.578219,-74.587491
41535,Self-Service,Mount Laurel,NJ,8054,39.958361,-74.923627
41536,Self-Service,Bristol,PA,19007,40.110308,-74.878516
41537,Self-Service,Middlesex,NJ,8846,40.569216,-74.498131
41538,Self-Service,Moorestown,NJ,8057,39.966823,-74.943043
41539,Self-Service,Cornwells Heights,PA,19020,40.071495,-74.965675
41540,Self-Service,Hackettstown,NJ,7840,40.884443,-74.827386
41541,Self-Service,Somerset,NJ,8873,40.537152,-74.523797
41542,Self-Service,Moorestown,NJ,8057,39.964573,-74.944859
41543,Self-Service,Philadelphia,PA,19154,40.089116,-74.989637
41544,Self-Service,Somerset,NJ,8873,40.536072999999995,-74.525267
41545,Self-Service,Hackettstown,NJ,7840,40.870534,-74.81673599999999
41546,Self-Service,Mount Laurel,NJ,8054,39.935456,-74.93300699999999
41547,Self-Service,Somerset,NJ,8873,40.53653,-74.521001
41548,Self-Service,Philadelphia,PA,19154,40.087734000000005,-74.998277
41549,Self-Service,Mount Laurel,NJ,8054,39.945909,-74.943318
41550,Self-Service,Moorestown,NJ,8057,39.952469,-74.9508
41551,Self-Service,Philadelphia,PA,19154,40.082821,-74.996548
41552,Self-Service,Bridgewater,NJ,8807,40.605329,-74.624422
41553,Self-Service,Newton,NJ,7860,41.056913,-74.75380799999999
41554,Self-Service,Bridgewater,NJ,8807,40.58856,-74.624673
41555,Self-Service,Mount Laurel,NJ,8054,39.938532,-74.951431
41556,Self-Service,Bristol,PA,19007,40.111871,-74.853111
41557,Self-Service,Sparta,NJ,7871,41.036486,-74.659513
41558,Self-Service,Bridgewater,NJ,8807,40.585189,-74.626993
41559,Self-Service,Delanco,NJ,8075,40.050653000000004,-74.95366999999999
41560,Self-Service,Mount Laurel,NJ,8054,39.938589,-74.95140400000001
41561,Self-Service,Yardley,PA,19067,40.23145,-74.887273
41562,Self-Service,Bridgewater,NJ,8807,40.589612,-74.64473199999999
41563,Self-Service,Marlton,NJ,8053,39.880544,-74.921901
41564,Self-Service,Sparta,NJ,7871,41.041756,-74.630234
